occupation_title,median_annual_wage_2018,typical_entry_level_education,education_code,work_experience,typical_on_the_job_training
Accountants and auditors    ,70500,Bachelors degree,3,None,None
Actors    ,,Some college no degree,6,None,Long-term on-the-job training
Actuaries    ,102880,Bachelors degree,3,None,Long-term on-the-job training
Adhesive bonding machine operators and tenders    ,33820,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Administrative law judges,99850,Doctoral or professional degree,1,5 years or more,Short-term on-the-job training
Administrative services managers    ,96180,Bachelors degree,3,Less than 5 years,None
Adult basic and secondary education and literacy teachers and instructors    ,53630,Bachelors degree,3,None,None
Advertising and promotions managers    ,117130,Bachelors degree,3,Less than 5 years,None
Advertising sales agents    ,51740,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Aerospace engineering and operations technicians    ,67010,Associates degree,4,None,None
Aerospace engineers    ,115220,Bachelors degree,3,None,None
Agents and business managers of artists,66040,Bachelors degree,3,Less than 5 years,None
Agricultural and food science technicians    ,40860,Associates degree,4,None,Moderate-term on-the-job training
Agricultural engineers    ,77110,Bachelors degree,3,None,None
Agricultural equipment operators    ,31190,No formal educational credential,8,None,Moderate-term on-the-job training
Agricultural inspectors    ,44140,Bachelors degree,3,None,Moderate-term on-the-job training
Agricultural sciences teachers,84640,Doctoral or professional degree,1,None,None
Agricultural workers,29480,No formal educational credential,8,None,Short-term on-the-job training
Air traffic controllers    ,124540,Associates degree,4,None,Long-term on-the-job training
Aircraft cargo handling supervisors    ,48610,High school diploma or equivalent,7,Less than 5 years,None
Aircraft mechanics and service technicians    ,62920,Postsecondary nondegree award,5,None,None
Aircraft structure,53340,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Airfield operations specialists    ,52200,High school diploma or equivalent,7,None,Long-term on-the-job training
Airline pilots,140340,Bachelors degree,3,Less than 5 years,Moderate-term on-the-job training
Ambulance drivers and attendants,25750,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Amusement and recreation attendants    ,22260,No formal educational credential,8,None,Short-term on-the-job training
Anesthesiologists    ,>=208000,Doctoral or professional degree,1,None,Internship/residency
Animal breeders    ,37060,High school diploma or equivalent,7,None,Short-term on-the-job training
Animal control workers    ,36330,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Animal scientists    ,58380,Bachelors degree,3,None,None
Animal trainers    ,29290,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Anthropologists and archeologists    ,62410,Masters degree,2,None,None
Anthropology and archeology teachers,83940,Doctoral or professional degree,1,None,None
Appraisers and assessors of real estate    ,54980,Bachelors degree,3,None,Long-term on-the-job training
Arbitrators,62270,Bachelors degree,3,Less than 5 years,Moderate-term on-the-job training
Architects,79380,Bachelors degree,3,None,Internship/residency
Architectural and civil drafters    ,54920,Associates degree,4,None,None
Architectural and engineering managers    ,140760,Bachelors degree,3,5 years or more,None
Architecture teachers,86980,Doctoral or professional degree,1,None,None
Archivists    ,52240,Masters degree,2,None,None
Area,74440,Doctoral or professional degree,1,None,None
Art directors    ,92780,Bachelors degree,3,5 years or more,None
Art,69960,Masters degree,2,None,None
Artists and related workers,65390,No formal educational credential,8,None,Long-term on-the-job training
Assemblers and fabricators,31540,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Astronomers    ,105680,Doctoral or professional degree,1,None,None
Athletes and sports competitors    ,50650,No formal educational credential,8,None,Long-term on-the-job training
Athletic trainers    ,47510,Bachelors degree,3,None,None
Atmospheric and space scientists    ,94110,Bachelors degree,3,None,None
Atmospheric,90860,Doctoral or professional degree,1,None,None
Audio and video equipment technicians    ,43770,Postsecondary nondegree award,5,None,Short-term on-the-job training
Audio-visual and multimedia collections specialists    ,49600,Bachelors degree,3,Less than 5 years,None
Audiologists    ,75920,Doctoral or professional degree,1,None,None
Automotive and watercraft service attendants    ,24200,No formal educational credential,8,None,Short-term on-the-job training
Automotive body and related repairers    ,42730,High school diploma or equivalent,7,None,Long-term on-the-job training
Automotive glass installers and repairers    ,34170,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Automotive service technicians and mechanics    ,40710,Postsecondary nondegree award,5,None,Short-term on-the-job training
Avionics technicians    ,64140,Associates degree,4,None,None
Baggage porters and bellhops    ,24210,High school diploma or equivalent,7,None,Short-term on-the-job training
Bailiffs    ,45760,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Bakers    ,26520,No formal educational credential,8,None,Long-term on-the-job training
Barbers    ,27960,Postsecondary nondegree award,5,None,None
Bartenders    ,22550,No formal educational credential,8,None,Short-term on-the-job training
Bicycle repairers    ,28960,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Bill and account collectors    ,36020,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Billing and posting clerks    ,37800,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Biochemists and biophysicists    ,93280,Doctoral or professional degree,1,None,None
Biological science teachers,82550,Doctoral or professional degree,1,None,None
Biological scientists,79590,Bachelors degree,3,None,None
Biological technicians    ,44500,Bachelors degree,3,None,None
Biomedical engineers    ,88550,Bachelors degree,3,None,None
Boilermakers    ,62150,High school diploma or equivalent,7,None,Apprenticeship
Bookkeeping,40240,Some college no degree,6,None,Moderate-term on-the-job training
Brickmasons and blockmasons    ,50950,High school diploma or equivalent,7,None,Apprenticeship
Bridge and lock tenders    ,50320,High school diploma or equivalent,7,None,Short-term on-the-job training
Broadcast news analysts    ,66880,Bachelors degree,3,None,None
Broadcast technicians    ,40080,Associates degree,4,None,Short-term on-the-job training
Brokerage clerks    ,51400,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Budget analysts    ,76220,Bachelors degree,3,None,None
Building cleaning workers,29260,No formal educational credential,8,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists    ,47350,High school diploma or equivalent,7,None,Long-term on-the-job training
Bus drivers,32420,High school diploma or equivalent,7,None,Short-term on-the-job training
Bus drivers,42080,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Business operations specialists,70530,Bachelors degree,3,None,None
Business teachers,83960,Doctoral or professional degree,1,None,None
Butchers and meat cutters    ,31580,No formal educational credential,8,None,Long-term on-the-job training
Buyers and purchasing agents,62750,Bachelors degree,3,None,Moderate-term on-the-job training
Cabinetmakers and bench carpenters    ,34740,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Camera and photographic equipment repairers    ,40620,High school diploma or equivalent,7,None,Long-term on-the-job training
Camera operators,54570,Bachelors degree,3,None,None
Captains,69180,Postsecondary nondegree award,5,Less than 5 years,None
Cardiovascular technologists and technicians    ,56850,Associates degree,4,None,None
Career/technical education teachers,59230,Bachelors degree,3,Less than 5 years,None
Career/technical education teachers,60250,Bachelors degree,3,Less than 5 years,None
Cargo and freight agents    ,43210,High school diploma or equivalent,7,None,Short-term on-the-job training
Carpenters    ,46590,High school diploma or equivalent,7,None,Apprenticeship
Carpet installers    ,39340,No formal educational credential,8,None,Short-term on-the-job training
Cartographers and photogrammetrists    ,64430,Bachelors degree,3,None,None
Cashiers    ,22430,No formal educational credential,8,None,Short-term on-the-job training
Cement masons and concrete finishers    ,43000,No formal educational credential,8,None,Moderate-term on-the-job training
Chefs and head cooks    ,48460,High school diploma or equivalent,7,5 years or more,None
Chemical engineers    ,104910,Bachelors degree,3,None,None
Chemical equipment operators and tenders    ,48770,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Chemical plant and system operators    ,62060,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Chemical technicians    ,48160,Associates degree,4,None,Moderate-term on-the-job training
Chemistry teachers,79550,Doctoral or professional degree,1,None,None
Chemists    ,76890,Bachelors degree,3,None,None
Chief executives    ,189600,Bachelors degree,3,5 years or more,None
Child,46270,Bachelors degree,3,None,None
Childcare workers    ,23240,High school diploma or equivalent,7,None,Short-term on-the-job training
Chiropractors    ,71410,Doctoral or professional degree,1,None,None
Choreographers    ,47800,High school diploma or equivalent,7,5 years or more,Long-term on-the-job training
Civil engineering technicians    ,52580,Associates degree,4,None,None
Civil engineers    ,86640,Bachelors degree,3,None,None
Claims adjusters,65900,High school diploma or equivalent,7,None,Long-term on-the-job training
Cleaners of vehicles and equipment    ,24530,No formal educational credential,8,None,Short-term on-the-job training
Cleaning,30790,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Clergy    ,48990,Bachelors degree,3,None,Moderate-term on-the-job training
Clinical laboratory technologists and technicians,52330,Bachelors degree,3,None,None
Clinical,76990,Doctoral or professional degree,1,None,Internship/residency
Coaches and scouts    ,33780,Bachelors degree,3,None,None
Coating,34800,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Coil winders,34400,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Coin,34560,High school diploma or equivalent,7,None,Short-term on-the-job training
Combined food preparation and serving workers,21250,No formal educational credential,8,None,Short-term on-the-job training
Commercial and industrial designers    ,66590,Bachelors degree,3,None,None
Commercial divers    ,49140,Postsecondary nondegree award,5,None,Moderate-term on-the-job training
Commercial pilots    ,82240,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Communications equipment operators,41050,High school diploma or equivalent,7,None,Short-term on-the-job training
Communications teachers,68910,Doctoral or professional degree,1,None,None
Community and social service specialists,42620,Bachelors degree,3,None,None
Community health workers    ,39540,High school diploma or equivalent,7,None,Short-term on-the-job training
